Slime ID, Wave Number, Player Distance Fitness, Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Slime View Range Gene, Slime View Range Trait, Tower View Range Gene, Tower View Range Trait, Player View Range Gene, Player View Range Trait, Wall View Range Gene, Wall View Range Trait, Sheep View Range Gene, Sheep View Range Trait, Slime Attraction Gene, Slime Attraction Trait, Tower Attraction Gene, Tower Attraction Trait, Player Attraction Gene, Player Attraction Trait, Wall Attraction Gene, Wall Attraction Trait, Sheep Attraction Gene, Sheep Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Sprint Duration Gene, Sprint Duration Trait, Sprint Cooldown Gene, Sprint Cooldown Trait, 
26, 3, 19, 11, 9, 2, 4, -45.60697, 4.111401E-06, 14.12957, 0.9263818, -22.48078, 1.019971, 11.89877, 17.68417, 4.166417, 6.103996, 10.96961, 13.76488, 23.12496, 15.87526, 0.8665266, 0.1078942, -32.98846, -0.9994761, 42.21017, 0.9999477, -33.08993, 0.2002043, 59.75941, 0.9999997, -30.36082, -0.9989898, 12.2131, 9.062782, -15.79399, 0.01891883, -55.97822, 4.18034E-06, -12.10711, 2.760038E-05, 
27, 3, 30, 15, 6, 2, 0, -21.45255, 0.001720982, 53.17605, 0.9999954, -5.684774, 2.223562, 11.89877, 17.68417, -55.42039, 1.000004, -45.9497, 1.000057, 43.20897, 15.99917, 10.18363, 0.8545961, 0, 0, -0.9070663, -0.1128999, 34.76569, 0.9998656, 12.46005, 0.9575077, 11.47712, 0.8926135, -19.55122, 0.2276539, 4.057775, 0.7338889, 0, 2.5, 44.04335, 5, 
28, 3, 51, 17, 15, 0, 1, -28.54667, 0.000292525, 46.36339, 0.9999748, -34.42356, 1.00101, 2.342435, 8.559333, -31.66425, 1.001342, 6.678845, 10.92158, 13.81515, 14.81257, -8.186268, -0.7712005, -33.78339, -0.9995705, 5.780437, 0.6184891, 10.51219, 0.946116, -49.28974, 4.450743E-06, 22.48466, 0.9927853, 27.02107, 10.16844, -3.894068, 0.2741801, 75.3896, 5, 70.72421, 5, 
29, 3, 458, 23, 16, 1, 4, 24.76943, 0.9944718, -59.6583, 1.225711E-07, -11.6844, 1.291512, 20.25246, 19.67881, 36.30139, 10.99689, -34.24356, 1.001056, -7.690571, 1.765683, -43.67131, -0.9999638, 13.27141, 0.9300724, -26.53042, -0.99737, 43.69975, 0.9999856, 58.12963, 0.9999995, 56.22854, 0.9999985, -4.119348, 1.361056, 6.354569, 0.830425, 32.97041, 4.998684, -2.066953, 0.5617529, 
Slime ID, Wave Number, Player Distance Fitness, Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Slime View Range Gene, Slime View Range Trait, Tower View Range Gene, Tower View Range Trait, Player View Range Gene, Player View Range Trait, Wall View Range Gene, Wall View Range Trait, Sheep View Range Gene, Sheep View Range Trait, Slime Attraction Gene, Slime Attraction Trait, Tower Attraction Gene, Tower Attraction Trait, Player Attraction Gene, Player Attraction Trait, Wall Attraction Gene, Wall Attraction Trait, Sheep Attraction Gene, Sheep Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Sprint Duration Gene, Sprint Duration Trait, Sprint Cooldown Gene, Sprint Cooldown Trait, 
0, 4, 210, 8, 11, 2, 4, 61.78616, 0.9999995, -15.10152, 0.00836433, -0.869688, 4.425857, 18.20314, 19.46988, -8.526801, 1.418184, 41.18157, 15.99862, 5.106951, 9.531194, 52.2132, 0.9999957, 45.3, 0.9999759, -17.87084, -0.9773132, -22.87264, 0.20262, -25.66744, 0.001631113, 50.76827, 0.9999939, 39.47094, 10.19859, 7.16215, 0.8569931, 59.02504, 4.999998, 26.36464, 5, 
1, 4, 377, 5, 8, 2, 1, 58.42374, 0.9999987, -5.274063, 0.08960106, 3.269515, 7.817067, 48.31955, 19.99971, -46.6013, 1.000032, 60.70327, 15.99999, 21.11677, 15.79503, -24.61883, -0.9957621, 71.80978, 0.9999999, 66.02942, 0.9999999, 34.36961, 0.9998516, -11.73705, 0.05048558, 17.98907, 0.9779667, 11.67877, 8.921041, 24.71128, 0.9979293, 36.98003, 4.999517, -10.59089, 0.0001257176, 
2, 4, 414, 6, 25, 7, 0, -30.10161, 0.0001983255, 1.77607, 0.3644775, 4.081071, 8.576001, -46.28069, 1.000066, -66.23763, 1, 124.973, 16, -16.76471, 1.08302, -17.36573, -0.9742988, 1.43187, 0.1770966, 19.71997, 0.9856505, 41.46859, 0.9999748, -11.73705, 0.05048558, 25.64645, 0.9967206, -10.78437, 0.4421921, -40.7103, 3.801184E-05, 40.86221, 4.999817, -7.492048, 0.002785947, 
3, 4, 10, 2, 15, 1, 0, -56.07537, 3.001926E-07, 30.66854, 0.9987296, -22.48078, 1.019971, -39.88345, 1.000327, 2.323684, 4.967372, 15.78934, 15.25206, 45.03227, 15.99947, -61.49529, -0.9999996, -63.90243, -0.9999998, -16.00117, -0.9640379, -24.62336, 0.2016933, 2.733639, 0.6644992, -39.62838, -0.9999003, 22.35378, 10.09934, 37.44557, 0.9999141, -26.80104, 0.006145392, 27.47993, 5, 
4, 4, 320, 15, 5, 3, 3, 69.71753, 0.9999999, 71.35428, 0.9999999, -24.21921, 1.012938, 11.42126, 17.43025, -29.68507, 1.002201, 45.56563, 15.99954, 1.250584, 6.019329, -49.84279, -0.9999923, -6.191369, -0.6492037, -3.833618, -0.4456045, 27.4272, 0.9991591, -8.224663, 0.1134309, -34.15808, -0.9996089, 53.15862, 10.19995, -43.94977, 1.691247E-05, -28.14874, 0.00438913, 5.450533, 4.978622, 
